base_address,start_bit,end_bit,is_signed,param_name
0000,0,7,N,OR_GATE
0000,8,8,N,FDD_COINCIDENCE_MODE
0001,0,11,Y,CH01_TIME_ALIGN
0001,12,12,Y,CH01_TIME_ALIGN_TRG
0002,0,11,Y,CH02_TIME_ALIGN
0002,12,12,Y,CH02_TIME_ALIGN_TRG
0003,0,11,Y,CH03_TIME_ALIGN
0003,12,12,Y,CH03_TIME_ALIGN_TRG
0004,0,11,Y,CH04_TIME_ALIGN
0004,12,12,Y,CH04_TIME_ALIGN_TRG
0005,0,11,Y,CH05_TIME_ALIGN
0005,12,12,Y,CH05_TIME_ALIGN_TRG
0006,0,11,Y,CH06_TIME_ALIGN
0006,12,12,Y,CH06_TIME_ALIGN_TRG
0007,0,11,Y,CH07_TIME_ALIGN
0007,12,12,Y,CH07_TIME_ALIGN_TRG
0008,0,11,Y,CH08_TIME_ALIGN
0008,12,12,Y,CH08_TIME_ALIGN_TRG
0009,0,11,Y,CH09_TIME_ALIGN
0009,12,12,Y,CH09_TIME_ALIGN_TRG
000A,0,11,Y,CH10_TIME_ALIGN
000A,12,12,Y,CH10_TIME_ALIGN_TRG
000B,0,11,Y,CH11_TIME_ALIGN
000B,12,12,Y,CH11_TIME_ALIGN_TRG
000C,0,11,Y,CH12_TIME_ALIGN
000C,12,12,Y,CH12_TIME_ALIGN_TRG
0025,0,11,N,CH01_ADC0_RANGE
0026,0,11,N,CH01_ADC1_RANGE
0027,0,11,N,CH02_ADC0_RANGE
0028,0,11,N,CH02_ADC1_RANGE
0029,0,11,N,CH03_ADC0_RANGE
002A,0,11,N,CH03_ADC1_RANGE
002B,0,11,N,CH04_ADC0_RANGE
002C,0,11,N,CH04_ADC1_RANGE
002D,0,11,N,CH05_ADC0_RANGE
002E,0,11,N,CH05_ADC1_RANGE
002F,0,11,N,CH06_ADC0_RANGE
0030,0,11,N,CH06_ADC1_RANGE
0031,0,11,N,CH07_ADC0_RANGE
0032,0,11,N,CH07_ADC1_RANGE
0033,0,11,N,CH08_ADC0_RANGE
0034,0,11,N,CH08_ADC1_RANGE
0035,0,11,N,CH09_ADC0_RANGE
0036,0,11,N,CH09_ADC1_RANGE
0037,0,11,N,CH10_ADC0_RANGE
0038,0,11,N,CH10_ADC1_RANGE
0039,0,11,N,CH11_ADC0_RANGE
003A,0,11,N,CH11_ADC1_RANGE
003B,0,11,N,CH12_ADC0_RANGE
003C,0,11,N,CH12_ADC1_RANGE
003D,0,11,N,TRG_CHARGE_HIGH_LEVEL
003D,12,15,N,TRG_CHARGE_LOW_LEVEL
007C,0,11,N,CHANNEL_MASK
0080,0,15,N,CH01_CFD_THRESHOLD
0081,0,15,Y,CH01_CFD_ZERO
0082,0,15,Y,CH01_ADC_ZERO
0083,0,15,N,CH01_ADC_DELAY
0084,0,15,N,CH02_CFD_THRESHOLD
0085,0,15,Y,CH02_CFD_ZERO
0086,0,15,Y,CH02_ADC_ZERO
0087,0,15,N,CH02_ADC_DELAY
0088,0,15,N,CH03_CFD_THRESHOLD
0089,0,15,Y,CH03_CFD_ZERO
008A,0,15,Y,CH03_ADC_ZERO
008B,0,15,N,CH03_ADC_DELAY
008C,0,15,N,CH04_CFD_THRESHOLD
008D,0,15,Y,CH04_CFD_ZERO
008E,0,15,Y,CH04_ADC_ZERO
008F,0,15,N,CH04_ADC_DELAY
0090,0,15,N,CH05_CFD_THRESHOLD
0091,0,15,Y,CH05_CFD_ZERO
0092,0,15,Y,CH05_ADC_ZERO
0093,0,15,N,CH05_ADC_DELAY
0094,0,15,N,CH06_CFD_THRESHOLD
0095,0,15,Y,CH06_CFD_ZERO
0096,0,15,Y,CH06_ADC_ZERO
0097,0,15,N,CH06_ADC_DELAY
0098,0,15,N,CH07_CFD_THRESHOLD
0099,0,15,Y,CH07_CFD_ZERO
009A,0,15,Y,CH07_ADC_ZERO
009B,0,15,N,CH07_ADC_DELAY
009C,0,15,N,CH08_CFD_THRESHOLD
009D,0,15,Y,CH08_CFD_ZERO
009E,0,15,Y,CH08_ADC_ZERO
009F,0,15,N,CH08_ADC_DELAY
00A0,0,15,N,CH09_CFD_THRESHOLD
00A1,0,15,Y,CH09_CFD_ZERO
00A2,0,15,Y,CH09_ADC_ZERO
00A3,0,15,N,CH09_ADC_DELAY
00A4,0,15,N,CH10_CFD_THRESHOLD
00A5,0,15,Y,CH10_CFD_ZERO
00A6,0,15,Y,CH10_ADC_ZERO
00A7,0,15,N,CH10_ADC_DELAY
00A8,0,15,N,CH11_CFD_THRESHOLD
00A9,0,15,Y,CH11_CFD_ZERO
00AA,0,15,Y,CH11_ADC_ZERO
00AB,0,15,N,CH11_ADC_DELAY
00AC,0,15,N,CH12_CFD_THRESHOLD
00AD,0,15,Y,CH12_CFD_ZERO
00AE,0,15,Y,CH12_ADC_ZERO
00AF,0,15,N,CH12_ADC_DELAY
00B0,0,15,N,CH01_THRESHOLD_CALIBRATION
00B1,0,15,N,CH02_THRESHOLD_CALIBRATION
00B2,0,15,N,CH03_THRESHOLD_CALIBRATION
00B3,0,15,N,CH04_THRESHOLD_CALIBRATION
00B4,0,15,N,CH05_THRESHOLD_CALIBRATION
00B5,0,15,N,CH06_THRESHOLD_CALIBRATION
00B6,0,15,N,CH07_THRESHOLD_CALIBRATION
00B7,0,15,N,CH08_THRESHOLD_CALIBRATION
00B8,0,15,N,CH09_THRESHOLD_CALIBRATION
00B9,0,15,N,CH10_THRESHOLD_CALIBRATION
00BA,0,15,N,CH11_THRESHOLD_CALIBRATION
00BB,0,15,N,CH12_THRESHOLD_CALIBRATION
00D8,0,3,N,GBT_DATA_EMULATION_MODE
00D8,4,7,N,GBT_TRIGGERS_EMULATION_MODE
00D8,8,8,N,GBT_RESET_ORBIT_SYNC
00D8,9,9,N,GBT_RESET_DATA_COUNTERS
00D8,10,10,N,GBT_START_OF_EMULATION
00D8,11,11,N,GBT_RESET_RX_ERROR
00D8,12,12,N,GBT_RESET
00D8,13,13,N,GBT_RESET_RX_PHASE_ERROR
00D8,14,14,N,GBT_RESET_READOUT_FSM
00D8,15,15,N,GBT_RESET_ERROR_REPORT_FIFO
00D8,16,19,N,GBT_CTP_EMULATION_RUN_TYPE
00D8,20,20,N,GBT_HB_RESPONSE
00D8,21,21,N,GBT_BYPASS_MODE
00D8,22,22,N,GBT_FORCE_IDLE
00D8,23,23,N,GBT_HB_REJECT
00D8,24,24,N,GBT_SHIFT_RX_PHASE
00D9,0,31,N,GBT_TRIGGER_RESPOND_MASK
